num_notaria,nombre_notaria,direccion,lat,lon
1,Marcelo Menacho Ferrante,Calle Potosí № 50,-17.8475742,-63.24897439999999
2,María Luisa Lozada Bravo,Calle 21 de Mayo № 680,-17.756659,-62.99464510000001
3,Isaías Velasco Castro,Calle Junín № 351,-17.819144,-63.197725
4,Lorenzo Sandoval Estenssoro,Calle Mariano Saucedo Sevilla № 31,-17.8476479,-63.2486371
5,Geraldine Durán Santa Cruz,Calle Beni № 600 - Esq. Adán Gutiérrez - Edificio Valdivia,-17.6048565,-63.14213110000001
6,Paola Alejandra Aramayo Melgar,Calle Prolongación Ingavi № 929,-17.7686753,-63.117418
7,José Carlos Álvarez Arza,Av. Omar Chávez Ortiz № 1250,-17.8208839,-63.1994081
8,Carmen Alejandra Abuawad Hevia,Calle Tarija № 730 - Entre Agustín Saavedra y Av. Irala,-17.7902445,-63.17451849999999
9,Tania Villagómez Dorado,Av. Nicolás Suarez № 962 - 4to Anillo - Entre Av. Mutualista y 2 de Agosto,-17.7408104,-63.1475872
10,Jaime David Canedo Encinas,Calle Padre Landini № 41,-17.7844386,-63.1836856
11,Alejandro Rodrigo Colomo Vargas,Av. Canal Isuto - Entre 3er y 4to anillo – C/Padre Miguel Areiger - Edif. Claro de Luna,-17.7534629,-63.1964793
12,Claudia Heredia Bravo,Calle Ballivian № 35 - Entre Chuquisaca y René Moreno,-17.790411050000003,-63.180879992603856
13,Sarita Cuéllar Roca,Calle Santa Fe № 85 - Entre Av. Monseñor Rivero y Libertad,-17.751794088889287,-63.182990501292345
14,René Vicente Arzabe Soruco,4to Anillo casi esq. Av. Mutualista,-17.79602725,-63.18383801823225
15,Dolly Martínez Basma,Calle Potosí № 362 -Entre Republiquetas y Warnes,-17.7865753,-63.17671310000001
16,Mary Dolly Guardia Pérez,Calle Jaime Román - Condominio Madrid - 1er Piso,-17.757188300000003,-63.1964864
17,Evelín Fernández Ereny,Calle Bolívar № 27- Shopping Bolívar - Segundo Piso - Of. 215,-17.782972649999998,-63.181003172160516
18,Luís Alberto López Paniagua,Av. Irala - Esq. Calle René Moreno - Edif. Jenecherú - 1er Piso - Of. 1,-17.7767982,-63.1832843
19,María Eugenia Parada Velasco,Calle Chuquisaca № 366 - Entre Warnes y Republiquetas,-17.7788822,-63.1740121
20,Oscar Murillo Dorado,Calle Manuel Ignacio Salvatierra № 408 - Entre Tarija y Potosí,-17.785730876216338,-63.16769358991377
21,Offman Yerko Zambrana Vargas,Calle Ballivian esquina Chuquisaca - Edificio Oriente - Planta Baja - Oficinas 10 y 11,-17.784518,-63.1804009
22,Lucio Canaza Sacaca,Calle 6 Oeste № 2 - Villa 1ro de Mayo,-17.7956471,-63.1351754
23,Ana Ysabel Mariscal Fernández,Prolongación Aroma – Ed. Casanova - Of. 14 -Planta Baja,-17.7738618,-63.18012169999999
24,Olga Lilia Andrade Zabala,Av. Monseñor Rivero № 245 - Edificio Monseñor Rivero - Planta Baja - Of.4,-17.77337405,-63.1827347151052
25,Sara Leonor Mendoza Kuno,Calle Beni № 615 - Edif. Fergar - Planta Baja - Of. 2,-17.7770525,-63.18138265194179
26,Víctor Hugo Rojas Mérida,Calle Beni № 627 (Planta Alta),-17.7729483,-63.1844781
27,Wilma Carrizales Salvatierra,Calle Prolongación Beni № 34 - Of. 02,-17.7727682,-63.18345009999999
28,Víctor Janco Cuevas,Calle René Moreno № 467,-17.77574885,-63.19590192331878
29,Fabiola Céspedes Palacios,Calle Fortín Toledo № 54,-17.775228300000002,-63.18968437018485
30,Iván Rodríguez García,Calle Ballivian № 99 - Esquina Calle Tarija,-17.7843222,-63.176035
